tray,site,species,replicate,date,sample_ID,weight_mg,N2_amp,nitro_perc,n15,CO2_Amp,carbon_perc,c13
1,c,m,1,7/26/2022,1,3.08,"2,760",2.2,1.61,"9,681",51.45,-27.57
1,c,m,2,7/26/2022,2,3.3,"2,438",1.82,1.58,"10,181",51.62,-27.13
1,c,m,3,7/26/2022,3,3.16,"2,553",1.98,1.57,"9,598",49.65,-27.53
1,c,m,4,7/26/2022,4,3.04,"2,442",1.98,1.51,"9,345",49.9,-27.48
1,c,m,5,7/26/2022,5,3.34,"3,249",2.39,2.02,"9,895",49.23,-27.83
1,p,m,1,7/26/2022,6,3.3,"2,358",1.78,1.39,"10,061",51.2,-26.7
1,p,m,2,7/26/2022,7,3.33,"3,216",2.39,2.06,"10,005",50.27,-27.24
1,p,m,3,7/26/2022,8,3.39,"2,705",1.96,1.04,"10,211",50.52,-27.64
1,p,m,4,7/26/2022,9,2.88,"1,769",1.56,0.77,"9,003",51.18,-28.22
1,p,m,5,7/26/2022,10,3.04,"2,242",1.83,1.29,"9,342",50.19,-27.4
1,c,d,1,7/26/2022,11,3.21,"1,556",1.23,2.88,"9,279",47.15,-26.81
1,c,d,2,7/26/2022,12,3.13,"1,772",1.44,2.45,"9,349",48.67,-24.96
1,c,d,3,7/26/2022,13,3.41,"1,782",1.34,2.31,"10,131",50.17,-25.01
1,c,d,4,7/26/2022,14,3.08,"1,606",1.34,2.65,"9,029",47.66,-27.06
1,p,d,1,7/26/2022,15,2.96,"1,626",1.41,1.84,"8,696",47.05,-27.61
1,p,d,2,7/26/2022,16,3.06,"1,527",1.28,1.97,"8,889",46.81,-27.71
1,p,d,3,7/26/2022,17,3.37,"1,515",1.2,1.56,"9,180",45.27,-24.88
1,p,d,4,7/26/2022,18,3.14,"1,429",1.17,-0.01,"8,642",44.11,-25.86
1,p,d,5,7/26/2022,19,3.2,"1,299",1.08,1.36,"8,838",45.2,-25.88
1,c,h,1,7/26/2022,20,3.08,"3,399",2.72,-0.21,"9,843",53.18,-25.75
1,c,h,2,7/26/2022,21,2.93,"2,856",2.42,-0.04,"9,350",52.34,-27.92
1,c,h,3,7/26/2022,22,3.33,"3,529",2.63,0.31,"10,216",51.92,-26.75
1,c,h,4,7/26/2022,23,3.2,"3,285",2.54,-0.2,"9,893",51.61,-25.39
1,c,h,5,7/26/2022,24,3.41,"3,272",2.38,0.11,"10,256",51.09,-29.33
1,p,h,1,7/26/2022,25,3.12,"2,956",2.35,1.21,"9,377",49.46,-25.35
1,c,d,5,7/26/2022,26,3.3,"1,736",1.37,3.62,"9,641",48.96,-23.85
1,p,h,3,7/26/2022,27,3.14,"3,223",2.53,1.48,"9,584",50.4,-27.61
1,p,h,4,7/26/2022,28,3.18,"3,507",2.73,-0.21,"9,717",50.69,-26.86
1,p,h,5,7/26/2022,29,3.28,"3,653",2.72,0.45,"9,955",50.57,-26.06
1,p,d,1,5/24/2022,30,3.06,"1,939",1.65,2.76,"8,809",47.09,-26.84
1,p,d,2,5/24/2022,31,3.33,"2,238",1.72,4.25,"9,244",45.64,-26.61
1,p,d,3,5/24/2022,32,3.3,"3,411",2.56,2.78,"9,490",47.27,-25.47
1,p,d,4,5/24/2022,33,3.04,"2,328",1.92,2.37,"8,894",47.29,-25.66
1,p,d,5,5/24/2022,34,3.02,"3,098",2.59,2.94,"8,845",47.53,-26.71
1,c,d,1,5/24/2022,35,3,"2,445",2.04,3.28,"8,851",47.56,-25.04
1,c,d,2,5/24/2022,36,3.35,"2,618",1.97,3.12,"9,632",47.82,-25.57
1,c,d,4,5/24/2022,37,3.26,"2,274",1.8,3.71,"9,009",45.6,-26.73
1,c,d,5,5/24/2022,38,3.33,"3,587",2.73,4.62,"9,102",44.9,-24.07
1,p,h,1,5/24/2022,39,2.94,"3,483",3.02,0.55,"8,784",48.78,-24.95
1,p,h,2,5/24/2022,40,3.38,"5,033",3.75,0.95,"10,101",51.04,-25.75
1,p,h,3,5/24/2022,41,3.29,"5,278",3.96,0.66,"9,986",51.03,-25.67
1,p,h,4,5/24/2022,42,2.87,"4,246",3.65,0.42,"9,112",51.29,-26.31
1,p,h,5,5/24/2022,43,3.13,"4,316",3.52,0.13,"9,492",50.87,-25.55
1,c,h,1,5/24/2022,44,3.34,"5,577",4.11,0.16,"9,991",49.88,-25.39
1,c,h,2,5/24/2022,45,3.03,"4,380",3.61,0.36,"9,407",50.99,-26.59
1,c,h,3,5/24/2022,46,3.01,"4,204",3.49,0.57,"9,569",52.71,-25.86
1,c,h,4,5/24/2022,47,3.18,"3,949",3.07,0.21,"9,876",51.83,-27.72
1,c,h,5,5/24/2022,48,2.89,"2,625",2.26,0.83,"9,007",50.33,-29.31
1,p,m,1,5/24/2022,49,3.21,"3,642",2.82,1.82,"9,968",52.29,-27.66
1,p,m,2,5/24/2022,50,3.15,"3,202",2.52,1.7,"9,583",50.34,-28.23
1,p,m,3,5/24/2022,51,3.3,"3,276",2.49,1.53,"10,202",52.67,-27.24
1,p,m,4,5/24/2022,52,2.82,"2,463",2.19,1.37,"8,651",49.28,-27.74
1,p,m,5,5/24/2022,53,3.26,"3,285",2.47,1.99,"9,918",50.78,-27.56
1,c,m,1,5/24/2022,54,3.21,"3,550",2.72,1.73,"9,672",49.8,-27.83
1,c,m,2,5/24/2022,55,3.18,"3,142",2.46,1.3,"9,754",51.29,-26.95
1,c,m,3,5/24/2022,56,2.85,"3,287",2.85,2.14,"9,232",52.73,-27.05
1,c,m,4,5/24/2022,57,3.03,"3,069",2.52,1.78,"9,437",51.38,-27.3
1,p,m,1,6/22/2022,58,2.96,"2,033",1.71,1.65,"9,349",51.81,-26.75
1,c,m,5,5/24/2022,59,3.17,"3,731",2.9,1.4,"9,793",51.32,-27.68
1,p,m,2,6/22/2022,60,3.28,"2,818",2.12,1.1,"9,978",51.12,-27
1,p,m,3,6/22/2022,61,3,"2,508",2.13,1.32,"10,503",51.9,-27.58
1,p,m,4,6/22/2022,62,3.27,"2,014",1.57,0.72,"10,920",50.23,-27.84
1,p,m,5,6/22/2022,63,3.13,"2,696",2.17,1.47,"10,829",51.65,-26.83
1,c,m,1,6/22/2022,64,3.18,"3,130",2.46,1.64,"10,636",49.48,-26.36
1,c,m,2,6/22/2022,65,3.04,"2,483",2.06,1.39,"10,257",49.47,-27.09
1,c,m,3,6/22/2022,66,3.19,"3,005",2.37,2,"10,531",48.85,-27.42
1,c,m,4,6/22/2022,67,3.1,"2,634",2.15,1.09,"10,148",47.92,-26.96
1,c,m,5,6/22/2022,68,2.8,"2,791",2.53,1.7,"9,627",49.97,-28.06
1,c,h,1,6/22/2022,69,3.11,"4,086",3.3,0.23,"10,580",50.48,-25.36
1,c,h,2,6/22/2022,70,3.13,"4,000",3.25,0.34,"10,651",50.83,-26.79
1,c,h,3,6/22/2022,71,3.1,"3,684",3,0.98,"10,423",50.12,-25.48
1,c,h,4,6/22/2022,72,3.19,"3,161",2.52,0.2,"10,518",49.41,-24.86
1,c,h,5,6/22/2022,73,3.2,"2,704",2.18,-0.23,"10,549",49.64,-27.64
1,p,h,1,6/22/2022,74,2.85,"3,322",2.97,1.69,"9,841",50.89,-23.91
1,p,h,2,6/22/2022,75,2.8,"3,514",3.18,0.7,"9,765",51.2,-24.76
1,p,h,3,6/22/2022,76,2.85,"3,755",3.25,0.11,"10,246",53.08,-24.65
1,p,h,4,6/22/2022,77,3.36,"2,588",1.93,0.2,"10,856",48.82,-24.8
1,p,h,5,6/22/2022,78,2.87,"3,064",2.68,0.67,"9,726",49.83,-24.54
1,c,d,1,6/22/2022,79,2.87,"1,532",1.38,5.97,"9,332",47.4,-26.53
1,c,d,2,6/22/2022,80,2.85,"1,479",1.34,3.21,"8,832",44.5,-25.84
1,c,d,3,6/22/2022,81,3.09,"1,896",1.59,2.37,"9,375",44.43,-25.19
1,c,d,4,6/22/2022,82,3.06,"1,596",1.37,3.59,"8,900",42.37,-25.58
1,c,d,5,6/22/2022,83,3.01,"1,567",1.36,2.76,"8,844",42.56,-25.8
1,p,d,1,6/22/2022,84,2.95,"1,920",1.68,2.4,"9,043",44.59,-26.23
1,p,d,2,6/22/2022,85,3.03,"1,311",1.15,3.28,"8,944",43.2,-26.08
1,p,d,3,6/22/2022,86,2.82,"1,716",1.6,3.3,"8,705",44.86,-25.04
1,p,d,4,6/22/2022,87,2.86,"1,371",1.26,2.99,"8,657",43.72,-25.54
1,p,d,5,6/22/2022,88,2.84,"1,747",1.58,2.41,"8,708",44.13,-23.32
1,c,d,1,6/8/2022,89,3.18,"1,790",1.51,3.95,"9,523",44.89,-25.58
1,c,d,2,6/8/2022,90,2.97,"1,927",1.67,3.73,"9,232",45.57,-24.7
1,c,d,3,6/8/2022,91,3.14,"2,197",1.78,2.92,"9,589",45.02,-24.53
1,c,d,4,6/8/2022,92,2.82,"1,897",1.78,4.24,"8,690",45.24,-26.95
1,c,d,5,6/8/2022,93,3.03,"1,827",1.57,4.43,"8,816",42.28,-24.82
1,p,d,1,6/8/2022,94,3.25,"2,055",1.69,3.47,"9,721",45.32,-25.8
1,p,d,2,6/8/2022,95,2.95,"1,474",1.31,4.13,"8,907",44.13,-26.38
1,p,d,3,6/8/2022,96,3.05,"2,017",1.71,2.28,"9,377",45.49,-24.66
2,p,d,4,6/8/2022,97,2.81,"1,840",1.72,3.26,"8,557",44.4,-25.73
2,p,d,5,6/8/2022,98,2.85,"1,573",1.45,2.76,"8,689",44.35,-24.81
2,c,h,1,6/8/2022,99,2.99,"3,952",3.28,0.19,"9,853",48.76,-25.66
2,c,h,2,6/8/2022,100,3.07,"3,886",3.16,0.17,"9,975",48.42,-25.88
2,c,h,3,6/8/2022,101,2.99,"3,227",2.71,0.91,"9,914",49.72,-25.49
2,c,h,4,6/8/2022,102,3.27,"3,948",3.04,-0.18,"10,576",49.55,-24.91
2,c,h,5,6/8/2022,103,2.83,"3,019",2.67,0.5,"8,954",45.94,-27.06
2,p,h,1,6/8/2022,104,2.77,"2,667",2.41,1.37,"7,701",39.05,-24.81
2,p,h,2,6/8/2022,105,3.15,"4,281",3.43,0.78,"10,236",49.46,-24.79
2,p,h,3,6/8/2022,106,3.11,"4,417",3.55,-0.2,"10,062",48.6,-26.28
2,p,h,4,6/8/2022,107,2.96,"2,998",2.55,0.57,"9,556",47.76,-25.87
2,p,h,5,6/8/2022,108,2.79,"3,265",2.98,0.78,"9,177",48.7,-25.64
2,c,m,1,6/8/2022,109,3.19,"3,165",2.54,1.89,"10,104",48.64,-26.93
2,c,m,2,6/8/2022,110,3.14,"2,561",2.17,1.76,"9,653",47.61,-26.3
2,c,m,3,6/8/2022,111,3.26,"3,286",2.62,2.25,"10,262",49.18,-26.14
2,c,m,4,6/8/2022,112,3.26,"2,694",2.15,1.77,"10,281",48.82,-26.52
2,c,m,5,6/8/2022,113,3.12,"3,079",2.53,2.07,"9,880",48.18,-26.74
2,p,m,1,6/8/2022,114,3.34,"2,247",1.78,1.01,"10,507",49.32,-26.46
2,p,m,2,6/8/2022,115,2.81,"2,384",2.16,1.89,"9,113",48.05,-27.07
2,p,m,3,6/8/2022,116,3.23,"2,625",2.1,1.24,"10,202",48.94,-27.76
2,p,m,4,6/8/2022,117,2.83,"2,074",1.93,1.42,"8,598",45.46,-27.3
2,p,m,5,6/8/2022,118,2.75,"2,300",2.16,2.43,"8,854",47.72,-27.92
2,c,m,1,7/13/2022,119,2.93,"2,244",1.97,1.23,"9,245",47.46,-28.45
2,c,m,2,7/13/2022,120,3.23,"2,675",2.12,1.28,"10,150",48.44,-27.16
2,c,m,3,7/13/2022,121,3.02,"2,582",2.17,2.18,"10,025",50.73,-27.98
2,c,m,4,7/13/2022,122,3.09,"2,365",1.96,1.66,"9,518",46.56,-27.42
2,c,m,5,7/13/2022,123,3.12,"2,823",2.28,2.51,"9,799",47.19,-27.92
2,p,m,1,7/13/2022,124,3.2,"2,712",2.18,2.34,"9,866",47.22,-27.51
2,p,m,2,7/13/2022,125,3.32,"2,791",2.16,1.69,"9,696",44.58,-27.7
2,p,m,3,7/13/2022,126,3.1,"2,264",1.88,1.76,"9,739",47.89,-28.12
2,p,m,4,7/13/2022,127,2.91,"2,187",1.96,0.85,"9,287",49.11,-28.61
2,p,m,5,7/13/2022,128,3.16,"2,506",2.03,2.26,"9,652",46.4,-27.76
2,p,h,1,7/13/2022,129,3.08,"3,102",2.53,1.72,"9,914",48.52,-24.98
2,p,h,3,7/13/2022,130,3.21,"2,993",2.39,-0.9,"9,962",47.6,-25.95
2,p,h,4,7/13/2022,131,2.87,"3,073",2.72,0.6,"9,301",48.17,-26.55
2,p,h,5,7/13/2022,132,2.94,"2,875",2.45,0.3,"9,170",45.92,-25.63
2,c,h,1,7/13/2022,133,2.97,"2,946",2.5,0,"9,544",48.11,-25.42
2,c,h,2,7/13/2022,134,2.82,"3,593",3.23,0.02,"9,443",49.79,-27.18
2,c,h,3,7/13/2022,135,2.88,"2,232",2.07,1.17,"9,339",50.04,-25.95
2,c,h,4,7/13/2022,136,3.11,"2,851",2.43,0.12,"9,915",49.19,-27.19
2,c,h,5,7/13/2022,137,3.06,"2,675",2.09,0.56,"9,835",47.92,-28.8
2,p,d,1,7/13/2022,138,3.06,"1,585",1.25,2.42,"9,438",45.53,-26.75
2,p,d,2,7/13/2022,139,3.07,"1,135",0.89,3.96,"9,276",44.37,-26.99
2,p,d,3,7/13/2022,140,3.09,"1,846",1.45,2.35,"9,627",46.39,-25.29
2,p,d,4,7/13/2022,141,3.03,"1,570",1.27,3.03,"9,130",44.45,-25.53
2,p,d,5,7/13/2022,142,2.89,"1,311",1.12,3.34,"8,764",44.51,-26.22
2,c,d,1,7/13/2022,143,3.18,"1,649",1.28,3.69,"9,534",45.05,-26.01
2,c,d,2,7/13/2022,144,2.97,"1,589",1.32,3.65,"9,224",46.21,-25.37
2,c,d,3,7/13/2022,145,3.25,"2,276",1.71,3.22,"10,130",47.65,-24.68
2,c,d,4,7/13/2022,146,3.28,"1,426",1.09,3.49,"9,802",45.67,-26.38
2,c,d,5,7/13/2022,147,2.99,"1,125",0.94,4.11,"9,002",44.78,-27.08
