date,site,species,plant_num,replicate,stomata_count,zoom,fov_diam_mm
5/31/2022,p,m,1,1,16,100,0.2
5/31/2022,p,m,1,2,17,100,0.2
5/31/2022,p,m,1,3,12,100,0.2
5/31/2022,p,m,2,1,15,100,0.2
5/31/2022,p,m,2,2,14,100,0.2
5/31/2022,p,m,2,3,15,100,0.2
5/31/2022,p,m,3,1,17,100,0.2
5/31/2022,p,m,3,2,11,100,0.2
5/31/2022,p,m,3,3,15,100,0.2
5/31/2022,p,m,4,1,12,100,0.2
5/31/2022,p,m,4,2,12,100,0.2
5/31/2022,p,m,4,3,20,100,0.2
5/31/2022,p,m,5,1,19,100,0.2
5/31/2022,p,m,5,2,21,100,0.2
5/31/2022,p,m,5,3,22,100,0.2
5/31/2022,p,d,1,1,11,100,0.2
5/31/2022,p,d,1,2,15,100,0.2
5/31/2022,p,d,1,3,12,100,0.2
5/31/2022,p,d,2,1,8,100,0.2
5/31/2022,p,d,2,2,8,100,0.2
5/31/2022,p,d,2,3,6,100,0.2
5/31/2022,p,d,3,1,13,100,0.2
5/31/2022,p,d,3,2,15,100,0.2
5/31/2022,p,d,3,3,13,100,0.2
5/31/2022,p,d,4,1,13,100,0.2
5/31/2022,p,d,4,2,13,100,0.2
5/31/2022,p,d,4,3,14,100,0.2
5/31/2022,p,d,5,1,12,100,0.2
5/31/2022,p,d,5,2,11,100,0.2
5/31/2022,p,d,5,3,8,100,0.2
5/31/2022,p,h,1,1,8,100,0.2
5/31/2022,p,h,1,2,10,100,0.2
5/31/2022,p,h,1,3,7,100,0.2
5/31/2022,p,h,2,1,9,100,0.2
5/31/2022,p,h,2,2,10,100,0.2
5/31/2022,p,h,2,3,6,100,0.2
5/31/2022,p,h,3,1,9,100,0.2
5/31/2022,p,h,3,2,5,100,0.2
5/31/2022,p,h,3,3,10,100,0.2
5/31/2022,p,h,4,1,10,100,0.2
5/31/2022,p,h,4,2,12,100,0.2
5/31/2022,p,h,4,3,12,100,0.2
5/31/2022,p,h,5,1,8,100,0.2
5/31/2022,p,h,5,2,10,100,0.2
5/31/2022,p,h,5,3,7,100,0.2
5/31/2022,c,m,1,1,12,100,0.2
5/31/2022,c,m,1,2,19,100,0.2
5/31/2022,c,m,1,3,22,100,0.2
5/31/2022,c,m,2,1,19,100,0.2
5/31/2022,c,m,2,2,15,100,0.2
5/31/2022,c,m,2,3,20,100,0.2
5/31/2022,c,m,3,1,7,100,0.2
5/31/2022,c,m,3,2,14,100,0.2
5/31/2022,c,m,3,3,19,100,0.2
5/31/2022,c,m,4,1,12,100,0.2
5/31/2022,c,m,4,2,13,100,0.2
5/31/2022,c,m,4,3,16,100,0.2
5/31/2022,c,m,5,1,22,100,0.2
5/31/2022,c,m,5,2,25,100,0.2
5/31/2022,c,m,5,3,21,100,0.2
5/31/2022,c,d,1,1,12,100,0.2
5/31/2022,c,d,1,2,13,100,0.2
5/31/2022,c,d,1,3,12,100,0.2
5/31/2022,c,d,2,1,9,100,0.2
5/31/2022,c,d,2,2,16,100,0.2
5/31/2022,c,d,2,3,10,100,0.2
5/31/2022,c,d,3,1,13,100,0.2
5/31/2022,c,d,3,2,14,100,0.2
5/31/2022,c,d,3,3,9,100,0.2
5/31/2022,c,d,4,1,11,100,0.2
5/31/2022,c,d,4,2,8,100,0.2
5/31/2022,c,d,4,3,13,100,0.2
5/31/2022,c,d,5,1,8,100,0.2
5/31/2022,c,d,5,2,8,100,0.2
5/31/2022,c,d,5,3,7,100,0.2
5/31/2022,c,h,1,1,8,100,0.2
5/31/2022,c,h,1,2,10,100,0.2
5/31/2022,c,h,1,3,7,100,0.2
5/31/2022,c,h,2,1,10,100,0.2
5/31/2022,c,h,2,2,14,100,0.2
5/31/2022,c,h,2,3,6,100,0.2
5/31/2022,c,h,3,1,8,100,0.2
5/31/2022,c,h,3,2,8,100,0.2
5/31/2022,c,h,3,3,10,100,0.2
5/31/2022,c,h,4,1,9,100,0.2
5/31/2022,c,h,4,2,10,100,0.2
5/31/2022,c,h,4,3,10,100,0.2
5/31/2022,c,h,5,1,14,100,0.2
5/31/2022,c,h,5,2,12,100,0.2
5/31/2022,c,h,5,3,14,100,0.2
6/8/2022,p,m,1,1,17,100,0.2
6/8/2022,p,m,1,2,18,100,0.2
6/8/2022,p,m,1,3,18,100,0.2
6/8/2022,p,m,2,1,17,100,0.2
6/8/2022,p,m,2,2,21,100,0.2
6/8/2022,p,m,2,3,11,100,0.2
6/8/2022,p,m,3,1,14,100,0.2
6/8/2022,p,m,3,2,13,100,0.2
6/8/2022,p,m,3,3,18,100,0.2
6/8/2022,p,m,4,1,16,100,0.2
6/8/2022,p,m,4,2,18,100,0.2
6/8/2022,p,m,4,3,14,100,0.2
6/8/2022,p,m,5,1,25,100,0.2
6/8/2022,p,m,5,2,22,100,0.2
6/8/2022,p,m,5,3,19,100,0.2
6/8/2022,p,d,1,1,10,100,0.2
6/8/2022,p,d,1,2,9,100,0.2
6/8/2022,p,d,1,3,12,100,0.2
6/8/2022,p,d,2,1,11,100,0.2
6/8/2022,p,d,2,2,12,100,0.2
6/8/2022,p,d,2,3,10,100,0.2
6/8/2022,p,d,3,1,13,100,0.2
6/8/2022,p,d,3,2,19,100,0.2
6/8/2022,p,d,3,3,14,100,0.2
6/8/2022,p,d,4,1,10,100,0.2
6/8/2022,p,d,4,2,10,100,0.2
6/8/2022,p,d,4,3,9,100,0.2
6/8/2022,p,d,5,1,8,100,0.2
6/8/2022,p,d,5,2,9,100,0.2
6/8/2022,p,d,5,3,11,100,0.2
6/8/2022,p,h,1,1,9,100,0.2
6/8/2022,p,h,1,2,13,100,0.2
6/8/2022,p,h,1,3,10,100,0.2
6/8/2022,p,h,2,1,12,100,0.2
6/8/2022,p,h,2,2,10,100,0.2
6/8/2022,p,h,2,3,16,100,0.2
6/8/2022,p,h,3,1,9,100,0.2
6/8/2022,p,h,3,2,10,100,0.2
6/8/2022,p,h,3,3,9,100,0.2
6/8/2022,p,h,4,1,10,100,0.2
6/8/2022,p,h,4,2,9,100,0.2
6/8/2022,p,h,4,3,9,100,0.2
6/8/2022,p,h,5,1,9,100,0.2
6/8/2022,p,h,5,2,11,100,0.2
6/8/2022,p,h,5,3,8,100,0.2
6/8/2022,c,m,1,1,,,
6/8/2022,c,m,1,2,,,
6/8/2022,c,m,1,3,,,
6/8/2022,c,m,2,1,18,100,0.2
6/8/2022,c,m,2,2,16,100,0.2
6/8/2022,c,m,2,3,18,100,0.2
6/8/2022,c,m,3,1,14,100,0.2
6/8/2022,c,m,3,2,16,100,0.2
6/8/2022,c,m,3,3,14,100,0.2
6/8/2022,c,m,4,1,16,100,0.2
6/8/2022,c,m,4,2,18,100,0.2
6/8/2022,c,m,4,3,21,100,0.2
6/8/2022,c,m,5,1,20,100,0.2
6/8/2022,c,m,5,2,15,100,0.2
6/8/2022,c,m,5,3,19,100,0.2
6/8/2022,c,d,1,1,13,100,0.2
6/8/2022,c,d,1,2,12,100,0.2
6/8/2022,c,d,1,3,11,100,0.2
6/8/2022,c,d,2,1,10,100,0.2
6/8/2022,c,d,2,2,16,100,0.2
6/8/2022,c,d,2,3,9,100,0.2
6/8/2022,c,d,3,1,16,100,0.2
6/8/2022,c,d,3,2,15,100,0.2
6/8/2022,c,d,3,3,16,100,0.2
6/8/2022,c,d,4,1,13,100,0.2
6/8/2022,c,d,4,2,12,100,0.2
6/8/2022,c,d,4,3,10,100,0.2
6/8/2022,c,d,5,1,13,100,0.2
6/8/2022,c,d,5,2,10,100,0.2
6/8/2022,c,d,5,3,9,100,0.2
6/8/2022,c,h,1,1,9,100,0.2
6/8/2022,c,h,1,2,14,100,0.2
6/8/2022,c,h,1,3,14,100,0.2
6/8/2022,c,h,2,1,17,100,0.2
6/8/2022,c,h,2,2,10,100,0.2
6/8/2022,c,h,2,3,9,100,0.2
6/8/2022,c,h,3,1,5,100,0.2
6/8/2022,c,h,3,2,10,100,0.2
6/8/2022,c,h,3,3,6,100,0.2
6/8/2022,c,h,4,1,13,100,0.2
6/8/2022,c,h,4,2,12,100,0.2
6/8/2022,c,h,4,3,14,100,0.2
6/8/2022,c,h,5,1,13,100,0.2
6/8/2022,c,h,5,2,9,100,0.2
6/8/2022,c,h,5,3,15,100,0.2
6/15/2022,p,m,1,1,17,100,0.2
6/15/2022,p,m,1,2,20,100,0.2
6/15/2022,p,m,1,3,16,100,0.2
6/15/2022,p,m,2,1,15,100,0.2
6/15/2022,p,m,2,2,14,100,0.2
6/15/2022,p,m,2,3,9,100,0.2
6/15/2022,p,m,3,1,15,100,0.2
6/15/2022,p,m,3,2,15,100,0.2
6/15/2022,p,m,3,3,13,100,0.2
6/15/2022,p,m,4,1,17,100,0.2
6/15/2022,p,m,4,2,15,100,0.2
6/15/2022,p,m,4,3,23,100,0.2
6/15/2022,p,m,5,1,18,100,0.2
6/15/2022,p,m,5,2,18,100,0.2
6/15/2022,p,m,5,3,16,100,0.2
6/15/2022,p,d,1,1,24,40,0.5
6/15/2022,p,d,1,2,19,40,0.5
6/15/2022,p,d,1,3,29,40,0.5
6/15/2022,p,d,2,1,25,40,0.5
6/15/2022,p,d,2,2,13,40,0.5
6/15/2022,p,d,2,3,22,40,0.5
6/15/2022,p,d,3,1,30,40,0.5
6/15/2022,p,d,3,2,20,40,0.5
6/15/2022,p,d,3,3,39,40,0.5
6/15/2022,p,d,4,1,20,40,0.5
6/15/2022,p,d,4,2,22,40,0.5
6/15/2022,p,d,4,3,34,40,0.5
6/15/2022,p,d,5,1,20,40,0.5
6/15/2022,p,d,5,2,13,40,0.5
6/15/2022,p,d,5,3,25,40,0.5
6/15/2022,p,h,1,1,22,40,0.5
6/15/2022,p,h,1,2,24,40,0.5
6/15/2022,p,h,1,3,37,40,0.5
6/15/2022,p,h,2,1,22,40,0.5
6/15/2022,p,h,2,2,23,40,0.5
6/15/2022,p,h,2,3,31,40,0.5
6/15/2022,p,h,3,1,31,40,0.5
6/15/2022,p,h,3,2,32,40,0.5
6/15/2022,p,h,3,3,32,40,0.5
6/15/2022,p,h,4,1,32,40,0.5
6/15/2022,p,h,4,2,31,40,0.5
6/15/2022,p,h,4,3,34,40,0.5
6/15/2022,p,h,5,1,33,40,0.5
6/15/2022,p,h,5,2,46,40,0.5
6/15/2022,p,h,5,3,45,40,0.5
6/15/2022,c,m,1,1,17,100,0.2
6/15/2022,c,m,1,2,13,100,0.2
6/15/2022,c,m,1,3,21,100,0.2
6/15/2022,c,m,2,1,23,100,0.2
6/15/2022,c,m,2,2,17,100,0.2
6/15/2022,c,m,2,3,24,100,0.2
6/15/2022,c,m,3,1,16,100,0.2
6/15/2022,c,m,3,2,18,100,0.2
6/15/2022,c,m,3,3,14,100,0.2
6/15/2022,c,m,4,1,15,100,0.2
6/15/2022,c,m,4,2,17,100,0.2
6/15/2022,c,m,4,3,19,100,0.2
6/15/2022,c,m,5,1,20,100,0.2
6/15/2022,c,m,5,2,21,100,0.2
6/15/2022,c,m,5,3,20,100,0.2
6/15/2022,c,d,1,1,35,40,0.5
6/15/2022,c,d,1,2,38,40,0.5
6/15/2022,c,d,1,3,28,40,0.5
6/15/2022,c,d,2,1,53,40,0.5
6/15/2022,c,d,2,2,42,40,0.5
6/15/2022,c,d,2,3,45,40,0.5
6/15/2022,c,d,3,1,49,40,0.5
6/15/2022,c,d,3,2,48,40,0.5
6/15/2022,c,d,3,3,33,40,0.5
6/15/2022,c,d,4,1,41,40,0.5
6/15/2022,c,d,4,2,49,40,0.5
6/15/2022,c,d,4,3,34,40,0.5
6/15/2022,c,d,5,1,13,40,0.5
6/15/2022,c,d,5,2,22,40,0.5
6/15/2022,c,d,5,3,22,40,0.5
6/15/2022,c,h,1,1,34,40,0.5
6/15/2022,c,h,1,2,31,40,0.5
6/15/2022,c,h,1,3,43,40,0.5
6/15/2022,c,h,2,1,33,40,0.5
6/15/2022,c,h,2,2,37,40,0.5
6/15/2022,c,h,2,3,43,40,0.5
6/15/2022,c,h,3,1,10,40,0.5
6/15/2022,c,h,3,2,25,40,0.5
6/15/2022,c,h,3,3,16,40,0.5
6/15/2022,c,h,4,1,34,40,0.5
6/15/2022,c,h,4,2,33,40,0.5
6/15/2022,c,h,4,3,32,40,0.5
6/15/2022,c,h,5,1,34,40,0.5
6/15/2022,c,h,5,2,29,40,0.5
6/15/2022,c,h,5,3,38,40,0.5
6/21/2022,c,m,1,1,12,100,0.2
6/21/2022,c,m,1,2,12,100,0.2
6/21/2022,c,m,1,3,11,100,0.2
6/21/2022,c,m,2,1,22,100,0.2
6/21/2022,c,m,2,2,24,100,0.2
6/21/2022,c,m,2,3,24,100,0.2
6/21/2022,c,m,3,1,21,100,0.2
6/21/2022,c,m,3,2,22,100,0.2
6/21/2022,c,m,3,3,18,100,0.2
6/21/2022,c,m,4,1,22,100,0.2
6/21/2022,c,m,4,2,15,100,0.2
6/21/2022,c,m,4,3,23,100,0.2
6/21/2022,c,m,5,1,18,100,0.2
6/21/2022,c,m,5,2,23,100,0.2
6/21/2022,c,m,5,3,22,100,0.2
6/21/2022,c,d,1,1,8,100,0.2
6/21/2022,c,d,1,2,7,100,0.2
6/21/2022,c,d,1,3,7,100,0.2
6/21/2022,c,d,2,1,8,100,0.2
6/21/2022,c,d,2,2,8,100,0.2
6/21/2022,c,d,2,3,9,100,0.2
6/21/2022,c,d,3,1,6,100,0.2
6/21/2022,c,d,3,2,12,100,0.2
6/21/2022,c,d,3,3,9,100,0.2
6/21/2022,c,d,4,1,9,100,0.2
6/21/2022,c,d,4,2,7,100,0.2
6/21/2022,c,d,4,3,8,100,0.2
6/21/2022,c,d,5,1,8,100,0.2
6/21/2022,c,d,5,2,8,100,0.2
6/21/2022,c,d,5,3,8,100,0.2
6/21/2022,c,h,1,1,12,100,0.2
6/21/2022,c,h,1,2,13,100,0.2
6/21/2022,c,h,1,3,13,100,0.2
6/21/2022,c,h,2,1,9,100,0.2
6/21/2022,c,h,2,2,10,100,0.2
6/21/2022,c,h,2,3,12,100,0.2
6/21/2022,c,h,3,1,8,100,0.2
6/21/2022,c,h,3,2,9,100,0.2
6/21/2022,c,h,3,3,8,100,0.2
6/21/2022,c,h,4,1,8,100,0.2
6/21/2022,c,h,4,2,11,100,0.2
6/21/2022,c,h,4,3,9,100,0.2
6/21/2022,c,h,5,1,11,100,0.2
6/21/2022,c,h,5,2,10,100,0.2
6/21/2022,c,h,5,3,12,100,0.2
6/22/2022,p,m,1,1,17,100,0.2
6/22/2022,p,m,1,2,20,100,0.2
6/22/2022,p,m,1,3,15,100,0.2
6/22/2022,p,m,2,1,14,100,0.2
6/22/2022,p,m,2,2,24,100,0.2
6/22/2022,p,m,2,3,18,100,0.2
6/22/2022,p,m,3,1,19,100,0.2
6/22/2022,p,m,3,2,17,100,0.2
6/22/2022,p,m,3,3,18,100,0.2
6/22/2022,p,m,4,1,17,100,0.2
6/22/2022,p,m,4,2,20,100,0.2
6/22/2022,p,m,4,3,16,100,0.2
6/22/2022,p,m,5,1,20,100,0.2
6/22/2022,p,m,5,2,17,100,0.2
6/22/2022,p,m,5,3,20,100,0.2
6/22/2022,p,d,1,1,10,100,0.2
6/22/2022,p,d,1,2,6,100,0.2
6/22/2022,p,d,1,3,9,100,0.2
6/22/2022,p,d,2,1,8,100,0.2
6/22/2022,p,d,2,2,6,100,0.2
6/22/2022,p,d,2,3,5,100,0.2
6/22/2022,p,d,3,1,13,100,0.2
6/22/2022,p,d,3,2,12,100,0.2
6/22/2022,p,d,3,3,14,100,0.2
6/22/2022,p,d,4,1,7,100,0.2
6/22/2022,p,d,4,2,6,100,0.2
6/22/2022,p,d,4,3,8,100,0.2
6/22/2022,p,d,5,1,7,100,0.2
6/22/2022,p,d,5,2,6,100,0.2
6/22/2022,p,d,5,3,8,100,0.2
6/22/2022,p,h,1,1,10,100,0.2
6/22/2022,p,h,1,2,11,100,0.2
6/22/2022,p,h,1,3,9,100,0.2
6/22/2022,p,h,2,1,8,100,0.2
6/22/2022,p,h,2,2,16,100,0.2
6/22/2022,p,h,2,3,11,100,0.2
6/22/2022,p,h,3,1,9,100,0.2
6/22/2022,p,h,3,2,10,100,0.2
6/22/2022,p,h,3,3,13,100,0.2
6/22/2022,p,h,4,1,12,100,0.2
6/22/2022,p,h,4,2,8,100,0.2
6/22/2022,p,h,4,3,12,100,0.2
6/22/2022,p,h,5,1,11,100,0.2
6/22/2022,p,h,5,2,12,100,0.2
6/22/2022,p,h,5,3,10,100,0.2
6/29/2022,c,m,1,1,17,100,0.2
6/29/2022,c,m,1,2,15,100,0.2
6/29/2022,c,m,1,3,18,100,0.2
6/29/2022,c,m,2,1,19,100,0.2
6/29/2022,c,m,2,2,20,100,0.2
6/29/2022,c,m,2,3,19,100,0.2
6/29/2022,c,m,3,1,13,100,0.2
6/29/2022,c,m,3,2,14,100,0.2
6/29/2022,c,m,3,3,15,100,0.2
6/29/2022,c,m,4,1,17,100,0.2
6/29/2022,c,m,4,2,18,100,0.2
6/29/2022,c,m,4,3,13,100,0.2
6/29/2022,c,m,5,1,15,100,0.2
6/29/2022,c,m,5,2,18,100,0.2
6/29/2022,c,m,5,3,17,100,0.2
6/29/2022,c,d,1,1,9,100,0.2
6/29/2022,c,d,1,2,9,100,0.2
6/29/2022,c,d,1,3,8,100,0.2
6/29/2022,c,d,2,1,7,100,0.2
6/29/2022,c,d,2,2,9,100,0.2
6/29/2022,c,d,2,3,8,100,0.2
6/29/2022,c,d,3,1,8,100,0.2
6/29/2022,c,d,3,2,7,100,0.2
6/29/2022,c,d,3,3,8,100,0.2
6/29/2022,c,d,4,1,6,100,0.2
6/29/2022,c,d,4,2,7,100,0.2
6/29/2022,c,d,4,3,6,100,0.2
6/29/2022,c,d,5,1,8,100,0.2
6/29/2022,c,d,5,2,9,100,0.2
6/29/2022,c,d,5,3,7,100,0.2
6/29/2022,c,h,1,1,12,100,0.2
6/29/2022,c,h,1,2,14,100,0.2
6/29/2022,c,h,1,3,13,100,0.2
6/29/2022,c,h,2,1,13,100,0.2
6/29/2022,c,h,2,2,15,100,0.2
6/29/2022,c,h,2,3,14,100,0.2
6/29/2022,c,h,3,1,13,100,0.2
6/29/2022,c,h,3,2,11,100,0.2
6/29/2022,c,h,3,3,13,100,0.2
6/29/2022,c,h,4,1,13,100,0.2
6/29/2022,c,h,4,2,12,100,0.2
6/29/2022,c,h,4,3,10,100,0.2
6/29/2022,c,h,5,1,13,100,0.2
6/29/2022,c,h,5,2,12,100,0.2
6/29/2022,c,h,5,3,14,100,0.2
6/28/2022,p,m,1,1,15,100,0.2
6/28/2022,p,m,1,2,16,100,0.2
6/28/2022,p,m,1,3,17,100,0.2
6/28/2022,p,m,2,1,19,100,0.2
6/28/2022,p,m,2,2,13,100,0.2
6/28/2022,p,m,2,3,18,100,0.2
6/28/2022,p,m,3,1,20,100,0.2
6/28/2022,p,m,3,2,21,100,0.2
6/28/2022,p,m,3,3,23,100,0.2
6/28/2022,p,m,4,1,16,100,0.2
6/28/2022,p,m,4,2,16,100,0.2
6/28/2022,p,m,4,3,19,100,0.2
6/28/2022,p,m,5,1,19,100,0.2
6/28/2022,p,m,5,2,23,100,0.2
6/28/2022,p,m,5,3,21,100,0.2
6/28/2022,p,d,1,1,7,100,0.2
6/28/2022,p,d,1,2,8,100,0.2
6/28/2022,p,d,1,3,7,100,0.2
6/28/2022,p,d,2,1,5,100,0.2
6/28/2022,p,d,2,2,6,100,0.2
6/28/2022,p,d,2,3,8,100,0.2
6/28/2022,p,d,3,1,7,100,0.2
6/28/2022,p,d,3,2,6,100,0.2
6/28/2022,p,d,3,3,9,100,0.2
6/28/2022,p,d,4,1,7,100,0.2
6/28/2022,p,d,4,2,6,100,0.2
6/28/2022,p,d,4,3,8,100,0.2
6/28/2022,p,d,5,1,7,100,0.2
6/28/2022,p,d,5,2,6,100,0.2
6/28/2022,p,d,5,3,7,100,0.2
6/28/2022,p,h,1,1,11,100,0.2
6/28/2022,p,h,1,2,13,100,0.2
6/28/2022,p,h,1,3,9,100,0.2
6/28/2022,p,h,2,1,11,100,0.2
6/28/2022,p,h,2,2,12,100,0.2
6/28/2022,p,h,2,3,12,100,0.2
6/28/2022,p,h,3,1,11,100,0.2
6/28/2022,p,h,3,2,10,100,0.2
6/28/2022,p,h,3,3,9,100,0.2
6/28/2022,p,h,4,1,12,100,0.2
6/28/2022,p,h,4,2,11,100,0.2
6/28/2022,p,h,4,3,13,100,0.2
6/28/2022,p,h,5,1,14,100,0.2
6/28/2022,p,h,5,2,12,100,0.2
6/28/2022,p,h,5,3,9,100,0.2
7/5/2022,c,m,1,1,14,100,0.2
7/5/2022,c,m,1,2,15,100,0.2
7/5/2022,c,m,1,3,17,100,0.2
7/5/2022,c,m,2,1,16,100,0.2
7/5/2022,c,m,2,2,19,100,0.2
7/5/2022,c,m,2,3,15,100,0.2
7/5/2022,c,m,3,1,19,100,0.2
7/5/2022,c,m,3,2,17,100,0.2
7/5/2022,c,m,3,3,14,100,0.2
7/5/2022,c,m,4,1,19,100,0.2
7/5/2022,c,m,4,2,17,100,0.2
7/5/2022,c,m,4,3,15,100,0.2
7/5/2022,c,m,5,1,9,100,0.2
7/5/2022,c,m,5,2,14,100,0.2
7/5/2022,c,m,5,3,23,100,0.2
7/5/2022,c,d,1,1,11,100,0.2
7/5/2022,c,d,1,2,8,100,0.2
7/5/2022,c,d,1,3,11,100,0.2
7/5/2022,c,d,2,1,12,100,0.2
7/5/2022,c,d,2,2,13,100,0.2
7/5/2022,c,d,2,3,9,100,0.2
7/5/2022,c,d,3,1,10,100,0.2
7/5/2022,c,d,3,2,11,100,0.2
7/5/2022,c,d,3,3,13,100,0.2
7/5/2022,c,d,4,1,13,100,0.2
7/5/2022,c,d,4,2,18,100,0.2
7/5/2022,c,d,4,3,13,100,0.2
7/5/2022,c,d,5,1,9,100,0.2
7/5/2022,c,d,5,2,8,100,0.2
7/5/2022,c,d,5,3,10,100,0.2
7/5/2022,c,h,1,1,11,100,0.2
7/5/2022,c,h,1,2,11,100,0.2
7/5/2022,c,h,1,3,6,100,0.2
7/5/2022,c,h,2,1,10,100,0.2
7/5/2022,c,h,2,2,8,100,0.2
7/5/2022,c,h,2,3,12,100,0.2
7/5/2022,c,h,3,1,9,100,0.2
7/5/2022,c,h,3,2,7,100,0.2
7/5/2022,c,h,3,3,7,100,0.2
7/5/2022,c,h,4,1,8,100,0.2
7/5/2022,c,h,4,2,12,100,0.2
7/5/2022,c,h,4,3,7,100,0.2
7/5/2022,c,h,5,1,14,100,0.2
7/5/2022,c,h,5,2,11,100,0.2
7/5/2022,c,h,5,3,9,100,0.2
7/6/2022,p,m,1,1,23,100,0.2
7/6/2022,p,m,1,2,18,100,0.2
7/6/2022,p,m,1,3,21,100,0.2
7/6/2022,p,m,2,1,13,100,0.2
7/6/2022,p,m,2,2,21,100,0.2
7/6/2022,p,m,2,3,18,100,0.2
7/6/2022,p,m,3,1,12,100,0.2
7/6/2022,p,m,3,2,22,100,0.2
7/6/2022,p,m,3,3,14,100,0.2
7/6/2022,p,m,4,1,13,100,0.2
7/6/2022,p,m,4,2,15,100,0.2
7/6/2022,p,m,4,3,10,100,0.2
7/6/2022,p,m,5,1,11,100,0.2
7/6/2022,p,m,5,2,15,100,0.2
7/6/2022,p,m,5,3,17,100,0.2
7/6/2022,p,d,1,1,7,100,0.2
7/6/2022,p,d,1,2,7,100,0.2
7/6/2022,p,d,1,3,14,100,0.2
7/6/2022,p,d,2,1,11,100,0.2
7/6/2022,p,d,2,2,9,100,0.2
7/6/2022,p,d,2,3,14,100,0.2
7/6/2022,p,d,3,1,15,100,0.2
7/6/2022,p,d,3,2,12,100,0.2
7/6/2022,p,d,3,3,10,100,0.2
7/6/2022,p,d,4,1,12,100,0.2
7/6/2022,p,d,4,2,13,100,0.2
7/6/2022,p,d,4,3,10,100,0.2
7/6/2022,p,d,5,1,10,100,0.2
7/6/2022,p,d,5,2,8,100,0.2
7/6/2022,p,d,5,3,11,100,0.2
7/6/2022,p,h,1,1,9,100,0.2
7/6/2022,p,h,1,2,11,100,0.2
7/6/2022,p,h,1,3,12,100,0.2
7/6/2022,p,h,2,1,,,
7/6/2022,p,h,2,2,,,
7/6/2022,p,h,2,3,,,
7/6/2022,p,h,3,1,7,100,0.2
7/6/2022,p,h,3,2,10,100,0.2
7/6/2022,p,h,3,3,6,100,0.2
7/6/2022,p,h,4,1,8,100,0.2
7/6/2022,p,h,4,2,8,100,0.2
7/6/2022,p,h,4,3,10,100,0.2
7/6/2022,p,h,5,1,11,100,0.2
7/6/2022,p,h,5,2,11,100,0.2
7/6/2022,p,h,5,3,9,100,0.2
